MOF,water_resistance
str_m5_o16_o16_sra_sym.3,0.005215466225741203
str_m5_o16_o19_sra_sym.15,0.8979752552738843
str_m5_o16_o24_sra_sym.108,0.16163799718494185
str_m5_o16_o24_sra_sym.92,0.8720622970763298
str_m5_o17_o22_sra_sym.36,0.9142076252249024
str_m5_o17_o22_sra_sym.44,0.9291288052049191
str_m5_o18_o19_sra_sym.43,0.9423319675995416
str_m5_o18_o19_sra_sym.88,0.8839599144587327
str_m5_o18_o22_sra_sym.67,0.8527956670629764
str_m5_o18_o24_sra_sym.80,0.8421205752290489
str_m5_o18_o29_sra_sym.17,0.7883787861853052
str_m4_o1_o14_acs_sym.10,0.07992465557697226
str_m3_o5_o29_pcu_sym.79,0.36273766008691316
RSM4021,0.9117136443003163
RSM4297,0.0320554610752754
RSM4338,0.4722847743318668
RSM4327,0.29525646104728465
RSM4322,0.08131054369175476
RSM4311,0.918834752444024
RSM4306,0.9492588597227215
RSM4298,0.041565107693716456
RSM4294,0.5428970922733072
RSM4240,0.9235845165851647
RSM4290,0.9663565226228186
RSM4278,0.9296465333074384
RSM4260,0.028962282874764354
RSM4258,0.0007327013043086223
RSM4356,0.02753108969037021
RSM4357,0.6606808829030921
RSM4364,0.015711980757437974
RSM4370,1.0398065856233185
RSM4380,0.9516017685590669
RSM4385,0.27953282415525615
RSM4397,0.8856517935258094
RSM4412,0.4467371356780638
RSM4419,0.5994756417291591
RSM4456,0.04450154659814537
RSM4457,0.16215904685060412
RSM4464,0.5758971127591166
RSM4480,0.5013491488097529
RSM4490,0.9342051339368876
RSM4241,0.4859587065527992
RSM4506,0.5211089500589319
RSM4068,0.04914423325019352
RSM4109,0.01737243188015311
RSM4098,0.12434998115886978
RSM4092,0.016735307876463976
RSM4082,0.9374587095353447
RSM4079,0.0328087013417489
RSM4072,0.8920955325829193
RSM4063,0.09230440070267104
RSM4232,0.05337749669563984
RSM4062,0.5234797178468878
RSM4054,0.011639838029658468
RSM4040,0.9307966948893196
RSM4038,0.18561339916255226
RSM4030,0.7792890665739614
RSM4119,0.22132143790551462
RSM4133,0.4291042807452686
RSM4136,0.00877865228893655
RSM4144,0.016075165869435575
RSM4160,0.03430114122573898
RSM4167,0.40907465825448197
RSM4181,0.06287489708707412
RSM4197,0.007184494554479696
RSM4199,0.00021037038335619573
RSM4210,0.33138608204018205
RSM4212,0.18833804317734
RSM4216,0.1449195744504871
RSM4230,0.33507147828972206
RSM4491,0.4611636981512225
RSM4509,0.0070079406265770895
str_m3_o5_o13_pcu_sym.93,0.9528655711385318
str_m3_o10_o16_pcu_sym.105,0.8881733732683132
str_m3_o10_o28_pcu_sym.35,0.8549603039887566
str_m3_o10_o28_pcu_sym.16,0.5000812351645686
str_m3_o10_o18_pcu_sym.55,0.5277557675455585
str_m3_o10_o17_pcu_sym.108,0.9315217875359854
str_m3_o10_o16_pcu_sym.41,0.9070616227511695
str_m3_o10_o16_pcu_sym.149,0.8666499899056488
str_m3_o10_o15_pcu_sym.33,0.002239956953310741
str_m2_o9_o19_pcu_sym.99,0.007226916165615534
str_m3_o10_o14_pcu_sym.41,0.4504575810612573
str_m3_o1_o9_pcu_sym.206,0.936578272291226
str_m3_o1_o6_pcu_sym.147,0.9222634296851421
str_m3_o10_o28_pcu_sym.50,0.747112361670879
str_m3_o10_o29_pcu_sym.121,0.8350723380422534
str_m3_o10_o29_pcu_sym.227,0.9300565522171307
str_m3_o10_o29_pcu_sym.37,0.8856553462854835
str_m3_o12_o13_pcu_sym.234,0.8527946911290176
str_m3_o12_o15_pcu_sym.174,0.18898121395663436
str_m3_o14_o14_pcu_sym.131,0.247158054332217
str_m3_o14_o16_pcu_sym.116,0.9252955993266218
